time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:fileDeletionBacklog,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-10-22 12:50:50.949 UTC, ,125,3158477,824,12624, , ,3, ,3, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1077,1,469,469,1, ,2,4, ,49,49, , , , , ,1,10, , , , , , , , , , , , , , , , , , , , , , , , ,1540212650692, , , , ,3145728, , , , ,12,3,16,3,3,3, , ,3,4, , , , , , , ,38,1, , ,12288,3,1087,3, , , , , , , , ,41487880,2, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-22 12:50:51.053 UTC, ,125,3162805,1056,16952, , ,4, ,11, , , , , , , , , ,4,4, , , , ,2,6, , , , , , , , , , , , , , , , ,1077,1,469,469, , , , , ,49,49, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1540212650692, , , , ,3145728, , , , ,2,5,10,5,2,5, , ,3,5, , , , , , , , , , , ,4096,2,620,5, , , , , , , , ,44130448,2, , , , , , ,12, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4, ,3,2,3, , , , , , , 
2018-10-22 12:50:51.113 UTC, ,125,3159069,1056,13216, , ,3, ,22,3,0.14, , , , , , , ,3,3, ,2, ,2,1,5, ,20,8, , , , , , , , , , , , , ,2943,2, ,1806, , , , , ,-1,-1, , , , , ,1,40, , , , , , , , , , , , , , , , , , , , , , , , ,1540212651081, , , , ,3145728, , , ,16,0, , , ,2, , , ,3, , , , ,16, ,2048,1, , , , ,100818,27, , , , , , , , , , ,54934864,2, , , , , , ,14, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-22 12:51:51.116 UTC, ,30973,17250581,2320,14073048,832, ,2376, ,221993,1,0.00, , , , , , , ,2376,36, , , ,445,305,16, ,52,1, , , , , , , , , , ,198881, , ,2943,2, ,1806, , , , , ,34,34, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1540212651081, , , , ,3145728, , ,115,3,54,10485,29110,10484,5,10485, , ,3,10488, , , ,3,1, , ,38,1, , ,12334,7,19551936,10500, , , ,1,1,47,11,262,370662048,2, , , , , , ,263663, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, ,196673, ,47137,21147,18,2, , , , , , 
2018-10-22 12:52:51.118 UTC, ,108679,19126807,3256,15871760,640, ,2711, ,77680, , , , , , , , , ,2711,39, , , ,605,406,93, ,1095,2, , , , , , , , , , ,75809, , ,8592000070,3,20001014,8589937412,1,1137,890,924, ,29,29, , , , , ,1221,107281,1, ,1113,531,582,3667,18200,23909,2, , , ,23905,78586, , , , , , , , , , ,1540212651081, , , , ,3145728, , , ,2,36,16860,48095,16860,2,16860, , ,3,16864, , , ,2,1,933979,115,3698074,116, , ,9070671,1109,3290222,16745, , , , , , ,2,11,639333960,2, , , , , , ,182097, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33957, ,89359,33761,12, , , , , , , 
2018-10-22 12:53:08.859 UTC, ,109559,19324903,3360,16069616, , ,2785, ,51064, , , , , , , , , ,2785,42, , , ,670,451,109, ,70425, , , , , , , , , , , ,48214, , ,8592000070,3,20001014,8589937412, , , , , ,29,29, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1540212651081, , , , ,3145728, , , , ,25,4583,12943,4584, ,4583, , ,3,4584, , , , ,1, , , , , , , , ,833330,4583, , , , , , ,1,3,659708840,2, , , , , , ,308470, , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,1, ,9175, ,263333,35961,4, , , , , , , 
2018-10-22 12:53:33.652 UTC, ,250,3169794,2528,23816, , ,4, ,765,4,0.01, , , , , , , ,4,4, ,10, ,4,1,6, ,743,15, , , , , , , , , , , , , ,8599838984,5,29903550,8599838142,1, ,3,6, ,38,38, , , , , ,1205,68467, , , , , , , , , , , , , , , , , , , , , , , , ,1540212812818, , , , ,3145728, , , ,25,12,1,13,1,4,1, , ,3,2, , , ,25, ,63764,17,975,1, , ,40476085,4380, , , , , , , , ,1,7,41247480,1, , , , , , ,738, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-22 12:53:33.745 UTC, ,250,3172994,2528,27016, , ,5, ,11,1,0.09, , , , , , , ,5,5, , , ,4,2,7, ,2,1, , , , , , , , , , , , , ,8599838984,5,29903550,8599838142, , , , , ,38,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1540212812818, , , , ,3145728, , , ,3,0, , , ,1, , , ,3, , , , ,3,1,4096,2, , , , ,2086,2, , , , , , , , , , ,43809800,1, , , , , , ,16, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7, , , , , , , , 
2018-10-22 12:53:33.996 UTC, ,250,3169402,2528,23424, , ,4,1,708,4,0.01, , , , , , , ,4,4, ,2,1,4,1,6, ,709,17, , , , , , , , , , , , , ,8599839484,6, ,8599839106, , , , , ,38,38, , , , , ,1205,68482, , , , , , , , , , , , , , , , , , , , , , , , ,1540212813769, , , , ,3145728, , , ,28,0, , , ,2, , , ,3, , , , ,28, ,48629,18, , , , ,19928523,2430, , , , , , , , ,2,14,32328848,1, , , , , , ,697, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-10-22 12:53:40.309 UTC, ,250,17651154,2528,14505176, , ,2485,1072,32606,2481,0.08, , , , , , , ,2485,40, , ,1072,398,214,130, ,70403,49900, , , , , , , , , , ,29800,31, ,8599839484,6, ,8599839106, , , , , ,38,38, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1540212813769, , , , ,3145728, , , ,53489,4,4,13,4,4,4, , ,3,4, , , ,53489,2,7119206,5958,359,2, ,119,4062643,47654,190,2, , , , ,2,82,6,148,114826280,2, , , , , , ,267398, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, ,3, ,240497,26879,3, , , , , , , 
